country,technology,technology_nomenclature,carrier,class,efficiency,efficiency2,efficiency3,efficiency_store,max_hours,cyclic_state_of_charge,state_of_charge_initial,p_max_pu,p_min_pu,ramp_limit_down,ramp_limit_up,standing_loss,r_rating
XY,BATS,Utility Battery storage,Electricity,Store,0.97,0,,0.98,,,,1,-1,1,1,,0.9
XY,HHBS,Household Battery storage,Electricity,Store,0.9,0,,0.9,,,,1,-1,1,1,,0
XY,BIOT,Biomass power plant ,Bio,Link,0.3,0,0,,,,,1,0,0.71,0.54,,0.9
XY,CHP,Biomass CHP plants,Bio,Link,0.27,0,0.28,,,,,1,0,0.71,0.54,,0.9
XY,CCGT,Combined cycle gas turbine,Gas,Link,0.52,0.2,0,,,,,1,0,0.75,0.71,,0.9
XY,CCGT,Combined cycle gas turbine,Lng,Link,0.52,0.2,0,,,,,1,0,0.75,0.71,,0.9
XY,OCGT,Open cycle gas turbine,Gas,Link,0.38,0.2,0,,,,,1,0,0.68,0.63,,0.9
XY,OCGT,Open cycle gas turbine,Lng,Link,0.38,0.2,0,,,,,1,0,0.68,0.63,,0.9
XY,CSP,Concentrated solar ,Solar,Generator,1,,,,,,,1,0,1,1,,0
XY,DAC,Direct air capture,CO2,Link,1,-0.5,,,,,,1,0,1,1,,0
XY,GEOT,Geothermal power plant,Geothermal,Generator,1,,,,,,,0.7,0.491,0.42,0.42,,0.9
XY,HDAM,Hydro dam,Water,StorageUnit,0.95,,,0,9,FALSE,3,1,0,1,1,0,0.9
XY,HPHS,Hydro pumped storage,Electricity,StorageUnit,0.8,0,,0.8,,,,1,-1,1,1,,0.9
XY,SubC,subcritical coal power plant,Lig,Link,0.35,0.36,0,,,,,1,0,0.76,0.58,,0.9
XY,SubC,subcritical coal power plant,Bit,Link,0.35,0.34,0,,,,,1,0,0.76,0.58,,0.9
XY,SubC,subcritical coal power plant,Hrdc,Link,0.35,0.35,0,,,,,1,0,0.76,0.58,,0.9
XY,SupC,Supercritical coal power plant,Lig,Link,0.38,0.36,0,,,,,1,0,0.76,0.58,,0.9
XY,SupC,Supercritical coal power plant,Bit,Link,0.38,0.34,0,,,,,1,0,0.76,0.58,,0.9
XY,SupC,Supercritical coal power plant,Hrdc,Link,0.38,0.35,0,,,,,1,0,0.76,0.58,,0.9
XY,HROR,Hydro run-of-river,Water,Generator,1,,,,,,,1,0,1,1,,0.9
XY,INLHSTOR,Thermal low Heat Storage,Low_Heat,Store,0.75,0,,0.75,,,,1,-1,1,1,,0
XY,IND_BOILER,Industry heat boiler,Hrdc,Link,0.9,0.35,0,,,,,1,0,1,1,,0
XY,IND_BOILER,Industry heat boiler,Oil,Link,0.9,0.28,0,,,,,1,0,1,1,,0
XY,IND_BOILER,Industry heat boiler,Gas,Link,0.9,0.2,0,,,,,1,0,1,1,,0
XY,IND_BOILER,Industry heat boiler,Bio,Link,0.9,0,0,,,,,1,0,1,1,,0
XY,IND_BOILER,Industry heat boiler,Hyd,Link,0.9,0,0,,,,,1,0,1,1,,0
XY,NUCL,Nuclear,Uranium,Link,0.33,0,0,,,,,0.7,0.498,0.72,0.54,,0.9
XY,OCHT,Open cycle hydrogen turbine,Hyd,Link,0.38,0,0,,,,,1,0,0.68,0.63,,0.9
XY,OILT,Oil turbine power plant,Oil,Link,0.33,0.28,0,,,,,1,0,0.77,0.65,,0.9
XY,PHOT,Solar PV,Solar,Generator,1,,,,,,,,0,1,1,,0.6
